使用生成的对角线模板
阈值: 0.9
找到 682 个匹配结果:
Block 21, Step 5, 相似度: 0.9609
Block 21, Step 6, 相似度: 0.9609
Block 21, Step 3, 相似度: 0.9609
Block 21, Step 9, 相似度: 0.9609
Block 21, Step 4, 相似度: 0.9609
Block 6, Step 0, 相似度: 0.9609
Block 6, Step 1, 相似度: 0.9609
Block 6, Step 2, 相似度: 0.9609
Block 21, Step 8, 相似度: 0.9609
Block 21, Step 7, 相似度: 0.9609
Block 21, Step 2, 相似度: 0.9609
Block 6, Step 3, 相似度: 0.9609
Block 21, Step 10, 相似度: 0.9609
Block 6, Step 4, 相似度: 0.9609
Block 18, Step 0, 相似度: 0.9609
Block 19, Step 3, 相似度: 0.9609
Block 19, Step 4, 相似度: 0.9609
Block 21, Step 11, 相似度: 0.9609
Block 21, Step 12, 相似度: 0.9609
Block 0, Step 29, 相似度: 0.9609
Block 19, Step 2, 相似度: 0.9609
Block 3, Step 0, 相似度: 0.9609
Block 19, Step 1, 相似度: 0.9609
Block 19, Step 5, 相似度: 0.9608
Block 21, Step 13, 相似度: 0.9608
Block 18, Step 1, 相似度: 0.9608
Block 6, Step 5, 相似度: 0.9608
Block 21, Step 1, 相似度: 0.9608
Block 19, Step 0, 相似度: 0.9608
Block 21, Step 14, 相似度: 0.9608
Block 6, Step 6, 相似度: 0.9607
Block 19, Step 6, 相似度: 0.9607
Block 3, Step 1, 相似度: 0.9607
Block 6, Step 7, 相似度: 0.9607
Block 10, Step 1, 相似度: 0.9607
Block 21, Step 15, 相似度: 0.9606
Block 6, Step 8, 相似度: 0.9606
Block 2, Step 0, 相似度: 0.9606
Block 10, Step 0, 相似度: 0.9606
Block 0, Step 30, 相似度: 0.9605
Block 21, Step 16, 相似度: 0.9605
Block 3, Step 3, 相似度: 0.9603
Block 21, Step 17, 相似度: 0.9603
Block 6, Step 9, 相似度: 0.9603
Block 9, Step 1, 相似度: 0.9603
Block 9, Step 0, 相似度: 0.9603
Block 1, Step 0, 相似度: 0.9602
Block 18, Step 2, 相似度: 0.9602
Block 3, Step 2, 相似度: 0.9602
Block 17, Step 0, 相似度: 0.9602
Block 3, Step 4, 相似度: 0.9601
Block 19, Step 7, 相似度: 0.9601
Block 10, Step 2, 相似度: 0.9601
Block 18, Step 3, 相似度: 0.9601
Block 9, Step 2, 相似度: 0.9601
Block 18, Step 4, 相似度: 0.9601
Block 21, Step 18, 相似度: 0.9601
Block 7, Step 0, 相似度: 0.9600
Block 15, Step 0, 相似度: 0.9600
Block 20, Step 2, 相似度: 0.9600
Block 17, Step 2, 相似度: 0.9599
Block 20, Step 0, 相似度: 0.9599
Block 15, Step 1, 相似度: 0.9599
Block 20, Step 1, 相似度: 0.9599
Block 20, Step 3, 相似度: 0.9599
Block 21, Step 19, 相似度: 0.9598
Block 15, Step 2, 相似度: 0.9598
Block 6, Step 10, 相似度: 0.9597
Block 18, Step 5, 相似度: 0.9597
Block 3, Step 5, 相似度: 0.9597
Block 1, Step 1, 相似度: 0.9596
Block 21, Step 20, 相似度: 0.9595
Block 2, Step 1, 相似度: 0.9595
Block 4, Step 0, 相似度: 0.9595
Block 21, Step 0, 相似度: 0.9595
Block 7, Step 1, 相似度: 0.9594
Block 4, Step 1, 相似度: 0.9594
Block 21, Step 21, 相似度: 0.9592
Block 18, Step 6, 相似度: 0.9591
Block 17, Step 3, 相似度: 0.9591
Block 17, Step 1, 相似度: 0.9591
Block 3, Step 6, 相似度: 0.9589
Block 21, Step 22, 相似度: 0.9589
Block 18, Step 7, 相似度: 0.9588
Block 6, Step 11, 相似度: 0.9588
Block 18, Step 8, 相似度: 0.9588
Block 9, Step 3, 相似度: 0.9587
Block 18, Step 9, 相似度: 0.9587
Block 15, Step 3, 相似度: 0.9586
Block 2, Step 3, 相似度: 0.9586
Block 21, Step 23, 相似度: 0.9586
Block 20, Step 4, 相似度: 0.9586
Block 12, Step 0, 相似度: 0.9586
Block 19, Step 8, 相似度: 0.9585
Block 2, Step 4, 相似度: 0.9585
Block 21, Step 24, 相似度: 0.9583
Block 10, Step 3, 相似度: 0.9583
Block 21, Step 25, 相似度: 0.9580
Block 3, Step 7, 相似度: 0.9579
Block 17, Step 4, 相似度: 0.9579
Block 2, Step 5, 相似度: 0.9578
Block 18, Step 10, 相似度: 0.9577
Block 21, Step 26, 相似度: 0.9576
Block 13, Step 1, 相似度: 0.9574
Block 9, Step 4, 相似度: 0.9573
Block 18, Step 11, 相似度: 0.9573
Block 2, Step 6, 相似度: 0.9573
Block 7, Step 2, 相似度: 0.9573
Block 2, Step 2, 相似度: 0.9572
Block 6, Step 12, 相似度: 0.9572
Block 21, Step 27, 相似度: 0.9571
Block 2, Step 7, 相似度: 0.9571
Block 3, Step 8, 相似度: 0.9569
Block 1, Step 2, 相似度: 0.9569
Block 18, Step 12, 相似度: 0.9567
Block 19, Step 9, 相似度: 0.9567
Block 2, Step 8, 相似度: 0.9567
Block 4, Step 2, 相似度: 0.9566
Block 7, Step 3, 相似度: 0.9565
Block 15, Step 4, 相似度: 0.9564
Block 15, Step 7, 相似度: 0.9562
Block 12, Step 1, 相似度: 0.9562
Block 15, Step 5, 相似度: 0.9561
Block 21, Step 28, 相似度: 0.9561
Block 17, Step 5, 相似度: 0.9561
Block 2, Step 9, 相似度: 0.9561
Block 18, Step 13, 相似度: 0.9560
Block 20, Step 5, 相似度: 0.9560
Block 15, Step 6, 相似度: 0.9560
Block 3, Step 9, 相似度: 0.9560
Block 13, Step 0, 相似度: 0.9559
Block 15, Step 8, 相似度: 0.9559
Block 15, Step 9, 相似度: 0.9555
Block 2, Step 10, 相似度: 0.9554
Block 9, Step 5, 相似度: 0.9554
Block 1, Step 3, 相似度: 0.9553
Block 18, Step 14, 相似度: 0.9552
Block 3, Step 10, 相似度: 0.9551
Block 0, Step 28, 相似度: 0.9550
Block 6, Step 13, 相似度: 0.9549
Block 7, Step 4, 相似度: 0.9549
Block 4, Step 3, 相似度: 0.9548
Block 2, Step 11, 相似度: 0.9548
Block 21, Step 29, 相似度: 0.9547
Block 8, Step 0, 相似度: 0.9547
Block 17, Step 6, 相似度: 0.9546
Block 18, Step 15, 相似度: 0.9543
Block 0, Step 3, 相似度: 0.9541
Block 2, Step 12, 相似度: 0.9541
Block 3, Step 11, 相似度: 0.9540
Block 0, Step 2, 相似度: 0.9539
Block 4, Step 4, 相似度: 0.9539
Block 1, Step 4, 相似度: 0.9536
Block 17, Step 7, 相似度: 0.9534
Block 18, Step 16, 相似度: 0.9534
Block 2, Step 13, 相似度: 0.9534
Block 10, Step 4, 相似度: 0.9533
Block 4, Step 5, 相似度: 0.9531
Block 0, Step 1, 相似度: 0.9531
Block 20, Step 6, 相似度: 0.9530
Block 9, Step 6, 相似度: 0.9528
Block 2, Step 14, 相似度: 0.9527
Block 3, Step 12, 相似度: 0.9526
Block 17, Step 8, 相似度: 0.9525
Block 18, Step 17, 相似度: 0.9525
Block 7, Step 5, 相似度: 0.9525
Block 1, Step 5, 相似度: 0.9524
Block 6, Step 14, 相似度: 0.9523
